iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
45,,,,,,,,,,-6.24719762802124,5.852766480529681e-05,-0.04802717640995979,0.027833230793476105,0.04897308349609375,0.011063098907470703,1599.0,0.19519704580307007,146.62069702148438,-4.277462005615234,-0.022451892495155334,-0.3626759350299835,-1.8836737871170044,-0.3546590805053711,-0.37151703238487244,1.9369949102401733,-0.005102918948978186
46,,,,,,,,,,-6.243066310882568,8.77914935699664e-05,-0.05206044763326645,0.022662710398435593,0.047102928161621094,0.010181903839111328,1675.0,0.1953442394733429,146.62069702148438,-4.277462005615234,-0.022737041115760803,-0.11417954415082932,-0.37927570939064026,-0.534008264541626,-0.7018362879753113,1.9919265508651733,-0.0024098011199384928
47,,,,,,,,,,-6.2109599113464355,5.852766480529681e-05,-0.050196751952171326,0.0071995677426457405,0.0465998649597168,0.010596036911010742,1678.0,0.19562740623950958,146.62069702148438,-4.277462005615234,-0.021238913759589195,-0.07412638515233994,-0.6513122916221619,-0.8864338994026184,-1.2374285459518433,1.994570255279541,-0.004785576369613409
48,,,,,,,,,,-6.16699743270874,3.9018443203531206e-05,-0.04742623120546341,0.013630237430334091,0.043174028396606445,0.010355949401855469,1793.0,0.1959332376718521,146.62069702148438,-4.277462005615234,-0.02206353284418583,-0.12304674834012985,-1.4688482284545898,-0.9568731784820557,-1.7144579887390137,1.9863858222961426,-0.009954828768968582
49,,,,,,,,,,-6.131367206573486,8.77914935699664e-05,-0.03994138538837433,0.0332830473780632,0.03582191467285156,0.010560035705566406,2069.0,0.19610819220542908,146.62069702148438,-4.277462005615234,-0.023672856390476227,-0.7685122489929199,-4.148194789886475,-0.8559315800666809,-1.68927001953125,1.8882331848144531,-0.004065772518515587
50,,,,,,,,,,-6.122621059417725,5.852766480529681e-05,-0.056800488382577896,0.12763889133930206,0.04073381423950195,0.010470151901245117,1874.0,0.19599248468875885,147.84375,-4.312387466430664,-0.022439852356910706,-1.048878788948059,-8.016703605651855,-0.8655064702033997,-0.886040985584259,1.7745732069015503,-0.008812631480395794
51,,,,,,,,,,-6.143990516662598,5.852766480529681e-05,-0.044203709810972214,0.05584407225251198,0.04806089401245117,0.010384082794189453,1642.0,0.19585300981998444,148.03030395507812,-4.324265480041504,-0.022605566307902336,-0.5219572186470032,-3.061053514480591,-0.3129415810108185,-0.44554343819618225,1.9106203317642212,-0.0038066257257014513
52,,,,,,,,,,-6.165824890136719,8.77914935699664e-05,-0.043681543320417404,0.009444570168852806,0.0509490966796875,0.010473966598510742,1562.0,0.19565925002098083,148.03030395507812,-4.324265480041504,-0.022350287064909935,-0.20009416341781616,-0.3066408336162567,-0.37643298506736755,-0.5685140490531921,1.9912757873535156,-0.0031834363471716642
53,,,,,,,,,,-6.187890529632568,3.9018443203531206e-05,-0.05957156792283058,0.004203572869300842,0.04768991470336914,0.011863231658935547,1612.0,0.19561196863651276,148.03030395507812,-4.324265480041504,-0.02302410453557968,-0.10637686401605606,-0.5312021374702454,-0.8813498616218567,-1.1782441139221191,1.9920296669006348,-0.004005590453743935
54,,,,,,,,,,-6.186984062194824,8.77914935699664e-05,-0.043672751635313034,0.006099970545619726,0.046772003173828125,0.010627031326293945,1672.0,0.19565507769584656,148.03030395507812,-4.324265480041504,-0.023475898429751396,-0.060316432267427444,-1.0967494249343872,-1.114960789680481,-1.796500325202942,1.9942131042480469,-0.00972189661115408
