iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
55,,,,,,,,,,,-5.637237071990967,5.852766480529681e-05,-0.042089805006980896,0.003171654650941491,0.04876112937927246,0.011744022369384766,1586.0,0.19939367473125458,39.349998474121094,0.6519528031349182,-0.02314104326069355,-0.02997431717813015,-0.14396660029888153,-0.04100820794701576,-0.16457967460155487,1.9976190328598022,-0.00408587884157896
56,,,,,,,,,,,-5.6397857666015625,5.852766480529681e-05,-0.05657782033085823,0.0028790924698114395,0.04272198677062988,0.011496305465698242,1770.0,0.19923245906829834,39.349998474121094,0.6519528031349182,-0.0243219044059515,-0.027407420799136162,-0.18397174775600433,-0.06668894737958908,-0.2512718439102173,1.998472809791565,-0.0006418777629733086
57,,,,,,,,,,,-5.6665239334106445,8.77914935699664e-05,-0.05857738479971886,0.00830791238695383,0.04644513130187988,0.011813163757324219,1647.0,0.19905318319797516,40.209999084472656,0.6631461977958679,-0.02316458709537983,-0.04442444443702698,-0.214588925242424,-0.11434183269739151,-0.20090103149414062,1.9951931238174438,-0.004039787221699953
58,,,,,,,,,,,-5.6858110427856445,2.60122942563612e-05,-0.05573403462767601,0.003423655405640602,0.0470731258392334,0.011920928955078125,1627.0,0.1989937275648117,41.439998626708984,0.6792088747024536,-0.023264916613698006,-0.04382746294140816,-0.22096578776836395,-0.0864395797252655,-0.1800169199705124,1.9936507940292358,-0.002847617259249091
59,,,,,,,,,,,-5.68886661529541,5.852766480529681e-05,-0.034392163157463074,0.004170470871031284,0.04882216453552246,0.011640071868896484,1587.0,0.19901008903980255,41.90999984741211,0.6861909031867981,-0.023689204826951027,-0.025915449485182762,-0.13834986090660095,-0.04013561084866524,-0.21113289892673492,1.9993797540664673,-0.003665531286969781
60,,,,,,,,,,,-5.677855968475342,2.60122942563612e-05,-0.04300140589475632,0.0015875175595283508,0.05054497718811035,0.011389017105102539,1550.0,0.19913096725940704,42.130001068115234,0.6891290545463562,-0.02203780971467495,-0.022633785381913185,-0.1405118703842163,-0.035231661051511765,-0.20072655379772186,1.9994579553604126,-0.0033256281167268753
61,,,,,,,,,,,-5.6638946533203125,8.77914935699664e-05,-0.03642492741346359,0.0038009376730769873,0.04413795471191406,0.011851072311401367,1714.0,0.1992107629776001,42.36000061035156,0.6921606659889221,-0.022653548046946526,-0.03688269481062889,-0.172300323843956,-0.07129009813070297,-0.27568069100379944,1.999383568763733,-0.0011898524826392531
62,,,,,,,,,,,-5.649603366851807,3.9018443203531206e-05,-0.050496216863393784,0.0017424935940653086,0.04983186721801758,0.011347055435180664,1569.0,0.1993008255958557,42.59000015258789,0.695049524307251,-0.023800155147910118,-0.0466705746948719,-0.22324781119823456,-0.11086296290159225,-0.20786689221858978,1.9949842691421509,-0.003897785907611251
63,,,,,,,,,,,-5.644601345062256,5.852766480529681e-05,-0.04547594487667084,0.0016547130653634667,0.04569697380065918,0.01224207878112793,1656.0,0.1992703080177307,43.33000183105469,0.7026581764221191,-0.02330179512500763,-0.0455709733068943,-0.25860682129859924,-0.12700463831424713,-0.27627861499786377,1.9942082166671753,-0.002502297516912222
64,,,,,,,,,,,-5.649656295776367,3.9018443203531206e-05,-0.060639385133981705,0.0034931376576423645,0.042053937911987305,0.012101888656616211,1772.0,0.19924211502075195,43.91999816894531,0.7083811163902283,-0.02252190001308918,-0.04389800503849983,-0.24040623009204865,-0.15420246124267578,-0.27778810262680054,1.9946584701538086,-0.002298820298165083
65,,,,,,,,,,,-5.651749134063721,5.852766480529681e-05,-0.03957781195640564,0.006369392853230238,0.0438840389251709,0.011559247970581055,1731.0,0.19927570223808289,44.779998779296875,0.7177830338478088,-0.022987857460975647,-0.05098864063620567,-0.2636242210865021,-0.15474802255630493,-0.23109011352062225,1.9916505813598633,-0.0031576287001371384
66,,,,,,,,,,,-5.642873764038086,5.852766480529681e-05,-0.05033111199736595,0.0015770898899063468,0.04949474334716797,0.011682271957397461,1569.0,0.19932213425636292,45.459999084472656,0.7257055044174194,-0.02162749320268631,-0.03290347382426262,-0.17826461791992188,-0.055092696100473404,-0.19605809450149536,1.9971274137496948,-0.0034363616723567247
67,,,,,,,,,,,-5.641385555267334,5.852766480529681e-05,-0.04569816589355469,0.0011802793014794588,0.041326045989990234,0.011470794677734375,1818.0,0.19933560490608215,45.459999084472656,0.7257055044174194,-0.02451007068157196,-0.04380820319056511,-0.18995626270771027,-0.11289066821336746,-0.32377082109451294,1.9981950521469116,-0.001142304390668869
68,-0.005830666515976191,-0.010275480337440968,-0.050042372196912766,-0.027747904881834984,-0.06323987245559692,0.5103328227996826,-0.0007368639926426113,0.0,1.0,0.0,-5.635058403015137,5.852766480529681e-05,-0.047847405076026917,0.006507265847176313,0.04659700393676758,0.012026071548461914,1637.0,0.19941261410713196,46.68000030517578,0.7390421628952026,-0.02185242623090744,-0.04182494804263115,-0.23655422031879425,-0.14352302253246307,-0.23669429123401642,1.99443781375885,-0.004828630480915308
69,,,,,,,,,,,-5.629826545715332,3.9018443203531206e-05,-0.051748886704444885,0.0006955588469281793,0.04278397560119629,0.011752843856811523,1760.0,0.19940273463726044,46.68000030517578,0.7390421628952026,-0.023288751021027565,-0.046605292707681656,-0.18964727222919464,-0.07641541212797165,-0.23757825791835785,1.996983528137207,-0.002146974438801408
70,,,,,,,,,,,-5.6361212730407715,5.852766480529681e-05,-0.04449231177568436,0.0010510636493563652,0.04436492919921875,0.011368036270141602,1722.0,0.1993340700864792,47.31999969482422,0.746561586856842,-0.02191670425236225,-0.05372266843914986,-0.20884263515472412,-0.15996845066547394,-0.3512808382511139,1.9969959259033203,-0.0024686292745172977
71,,,,,,,,,,,-5.641100883483887,5.852766480529681e-05,-0.040721435099840164,0.004490210674703121,0.04687690734863281,0.011123895645141602,1655.0,0.19939395785331726,47.86000061035156,0.7522227764129639,-0.024410763755440712,-0.049135345965623856,-0.16528932750225067,-0.15769483149051666,-0.25857508182525635,1.9939743280410767,-0.003329237224534154
72,,,,,,,,,,,-5.633599281311035,5.852766480529681e-05,-0.0494026318192482,0.0022818197030574083,0.04821610450744629,0.011883974075317383,1597.0,0.1994100958108902,48.90999984741211,0.7622241377830505,-0.022313080728054047,-0.05053642764687538,-0.18861813843250275,-0.11267618089914322,-0.26802289485931396,1.9937721490859985,-0.00327257695607841
