iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
43,,,,,,,,,,-6.244930267333984,5.852766480529681e-05,-0.05473487079143524,0.2647489905357361,0.04327034950256348,0.011836767196655273,1742.0,0.19509357213974,145.64285278320312,-4.284989356994629,-0.02276570536196232,-1.3138347864151,-9.441764831542969,-0.5650789141654968,-0.7675976157188416,1.7731908559799194,-0.010133374482393265
44,,,,,,,,,,-6.275221347808838,8.77914935699664e-05,-0.060694340616464615,0.04755911976099014,0.049612998962402344,0.011983871459960938,1558.0,0.19479425251483917,145.64285278320312,-4.284989356994629,-0.02180359698832035,-0.5996401906013489,-2.705659866333008,-0.13782040774822235,-0.3598443269729614,1.9261854887008667,-0.003600946394726634
45,,,,,,,,,,-6.314635276794434,8.77914935699664e-05,-0.0448869913816452,0.10445516556501389,0.05114293098449707,0.01186513900756836,1523.0,0.19461850821971893,145.7586212158203,-4.298231601715088,-0.02251148410141468,-0.20142658054828644,-1.4361553192138672,-0.21704404056072235,-0.31770560145378113,1.9660085439682007,-0.005102432332932949
46,,,,,,,,,,-6.326685905456543,5.852766480529681e-05,-0.04993939772248268,0.017480576410889626,0.05074477195739746,0.011966228485107422,1530.0,0.19466106593608856,145.7586212158203,-4.298231601715088,-0.022584326565265656,-0.04498845338821411,-0.5124291181564331,-0.33012136816978455,-0.5805767774581909,1.9950815439224243,-0.004459735006093979
47,,,,,,,,,,-6.326735973358154,8.77914935699664e-05,-0.039602719247341156,0.006621591746807098,0.051215171813964844,0.011978864669799805,1519.0,0.19457821547985077,145.7586212158203,-4.298231601715088,-0.021040381863713264,-0.06210002303123474,-1.1663366556167603,-0.3814598619937897,-0.964956521987915,1.993477463722229,-0.011067304760217667
48,,,,,,,,,,-6.332979202270508,8.77914935699664e-05,-0.05021720379590988,0.03554670140147209,0.0452427864074707,0.011460065841674805,1693.0,0.19456985592842102,145.7586212158203,-4.298231601715088,-0.021710464730858803,-0.5359445810317993,-3.6786797046661377,-0.23814557492733002,-1.2028168439865112,1.9259458780288696,-0.009249015711247921
49,,,,,,,,,,-6.345027446746826,5.852766480529681e-05,-0.06944642961025238,0.27474522590637207,0.04133296012878418,0.011824846267700195,1805.0,0.19443464279174805,145.83871459960938,-4.3064985275268555,-0.02315218560397625,-1.2897509336471558,-9.499214172363281,-0.4356161057949066,-0.803417444229126,1.7750340700149536,-0.006914233788847923
50,,,,,,,,,,-6.363572597503662,5.852766480529681e-05,-0.0482453927397728,0.22355195879936218,0.048896074295043945,0.012012004852294922,1576.0,0.1943504959344864,145.84848022460938,-4.302302837371826,-0.02230575866997242,-0.7242457866668701,-5.66098165512085,-0.2939104735851288,-0.3565835952758789,1.8636289834976196,-0.005916945170611143
51,,,,,,,,,,-6.371620178222656,8.77914935699664e-05,-0.04177868366241455,0.03277197852730751,0.050167083740234375,0.01208186149597168,1542.0,0.19430480897426605,145.84848022460938,-4.302302837371826,-0.022089211270213127,-0.07993628829717636,-0.2798166871070862,-0.11939225345849991,-0.3162059485912323,1.9922863245010376,-0.003515485441312194
52,,,,,,,,,,-6.383441925048828,5.852766480529681e-05,-0.05216601863503456,0.010633641853928566,0.04985499382019043,0.01178598403930664,1557.0,0.19421732425689697,145.84848022460938,-4.302302837371826,-0.021799752488732338,-0.06477299332618713,-0.5016806721687317,-0.3202321529388428,-0.6003843545913696,1.994672417640686,-0.004702461417764425
53,,,,,,,,,,-6.395362854003906,5.852766480529681e-05,-0.04394059628248215,0.010002130642533302,0.0483400821685791,0.011805057525634766,1596.0,0.19416694343090057,145.84848022460938,-4.302302837371826,-0.022497808560729027,-0.07159669697284698,-1.1380889415740967,-0.406109482049942,-0.9764356017112732,1.992780089378357,-0.01130442414432764
